web-scraper-order,web-scraper-start-url,page,page-href,question,underline
"1708214142-12","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","Question 1: 1
Question 2: 4
Question 3: 4
Question 4: 1
Question 5: 3
Question 6: 3
Question 7: 1
Question 8: 2
Question 9: 3
Question 10: 4",""
"1708214142-13","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","Download JTest4You’s N2 grammar ebook (1,617 pages)",""
"1708214148-14","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","1. 仲人を通して結婚を申し込む。
 なこうと
 なこうど
 なかひと
 なかじん","仲人"
"1708214148-15","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","2. 身近な例を挙げて、説明する。
 みぢか
 みちか
 しんきん
 しんぎん","身近"
"1708214148-16","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","3. 父はすいさんぶつの貿易をしている。
 生産物
 睡参物
 再産物
 水産物","すいさんぶつ"
"1708214148-17","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","4. 欧米の合理的なはっそうを経営にいかす。
 発送
 発想
 発走
 発争","はっそう"
"1708214148-18","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","5. 芸者の着物の模様の繊細な美しさも、暗かったら映えないだろう。
 もうよう
 もよう
 ぼうよう
 ぼよう","模様"
"1708214148-19","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","6. 頭痛がひどかったので、友達からの誘いを断って早退した。
 とうつう
 とうとう
 ずつう
 ずとう","頭痛"
"1708214148-20","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","7. 気温が高く乾燥しているので、自然に草がもえて、山火事になる危険性が高い。
 然えて
 生えて
 燃えて
 凝えて","もえて"
"1708214148-21","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","8. この人は気がくるっている。
 殴って
 誘って
 戦って
 狂って","くるって"
"1708214148-22","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","9. このニュースは根拠が怪しい。
 おかしい
 あやしい
 かしこい
 たくましい","怪しい"
"1708214148-23","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","10. あなたのしたことを深く反省してください。
 ばんせい
 はんせい
 はんしょう
 ばんしょう","反省"
"1708214148-24","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","Answer Key:",""
"1708214148-25","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","Question 1: 2
Question 2: 1
Question 3: 4
Question 4: 2
Question 5: 2
Question 6: 3
Question 7: 3
Question 8: 4
Question 9: 2
Question 10: 2",""
"1708214148-26","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 20","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-20/","Download JTest4You’s N2 grammar ebook (1,617 pages)",""
"1708214153-27","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","1. 無断に欠席するのは、君らしくないわ。
 けっせき
 けくせき
 けつせき
 けつぜき","欠席"
"1708214153-28","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","2. あの人は強く見えても、実は心細い人間だ。
 こころこまかい
 こころほそい
 こころごかかい
 こころぼそい","心細い"
"1708214153-29","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","3. この窓のガラスは、あつくて丈夫なうえにぼうおんの効果もある。
 断音
 静音
 声音
 防音","ぼうおん"
"1708214153-30","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","4. ご面倒ですが、どうか彼におつたえください。
 お消え
 お植え
 お伝え
 お超え","おつたえ"
"1708214153-31","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","5. 彼女はずっと黙って一言も言わなかった。
 ひとごと
 ひとこと
 ひとげん
 ひとごん","一言"
"1708214153-32","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","6. 航空機という偉大な発明が世界を大きく変えた。
 いだい
 えだい
 ゆうだい
 かだい","偉大"
"1708214153-33","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","7. 強盗と戦う、いさましい青年に頭が下がる。
 敢ましい
 戦ましい
 闘ましい
 勇ましい","いさましい"
"1708214153-34","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","8. 気温が高く乾燥しているので、自然に草がもえて、山火事になる危険性が高い。
 然えて
 生えて
 燃えて
 凝えて","もえて"
"1708214153-35","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","9. この店は、今月に入って、客数が極端に減ったらしい。
 きょたん
 きょてん
 きょくたん
 きょくてん","極端"
"1708214153-36","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","10. あの会社が急に成長したには必ず何か理由があるはずだ。
 かならず
 かたらず
 かきらず
 かぎらず","必ず"
"1708214153-37","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","Answer Key:",""
"1708214153-38","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","Question 1: 1
Question 2: 4
Question 3: 4
Question 4: 3
Question 5: 2
Question 6: 1
Question 7: 4
Question 8: 3
Question 9: 3
Question 10: 1",""
"1708214153-39","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 19","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-19/","Download JTest4You’s N2 grammar ebook (1,617 pages)",""
"1708214156-40","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","1. 毎日があわただしく、お部屋の掃除もろくにできていない。
 忙しく
 慌しく
 激しく
 惜しく","あわただしく"
"1708214156-41","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","2. 七五三は、子供の成長を祈って、子供が３歳・５歳・７歳の時神社に詣でたりするぎょうじである。
 行事
 工事
 好事
 祭事","ぎょうじ"
"1708214156-42","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","3. 月末までに代金を払ってください。
 がつすえ
 げつすえ
 がつまつ
 げつまつ","月末"
"1708214156-43","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","4. 子供の頃、赤くてかわいい雨靴がすごくほしかった。
 あまくつ
 あまぐつ
 あめぐつ
 あめくつ","雨靴"
"1708214156-44","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","5. 海外での暮らしが長くなると、日本食がこいしくなる。
 美味しく
 嬉しく
 楽しく
 恋しく","こいしく"
"1708214156-45","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","6. このたび、じじょうにより仕事をやめることになりました。
 事状
 異状
 事情
 異情","じじょう"
"1708214156-46","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","7. 緩い坂だから、自転車でも上れる。
 ゆるい
 かるい
 だるい
 ずるい","緩い"
"1708214156-47","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","8. わかりやすく書いたつもりだったが、幼稚な文章になってしまった。
 ゆうち
 ようち
 ようし
 ゆうし","幼稚"
"1708214156-48","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","9. 今日はみょうに気分が優れない。
 砂
 秒
 称
 妙","みょう"
"1708214156-49","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","10. わたしは親にさからって大学院に進学した。
 逆らって
 敵らって
 拒らって
 争らって","さからって"
"1708214156-50","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","Answer Key:",""
"1708214156-51","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","Question 1: 2
Question 2: 1
Question 3: 4
Question 4: 2
Question 5: 4
Question 6: 3
Question 7: 1
Question 8: 2
Question 9: 4
Question 10: 1",""
"1708214156-52","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 18","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18-2/","Download JTest4You’s N2 grammar ebook (1,617 pages)",""
"1708214159-53","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","1. 明日は駅の改札の前で会いましょう。
 かいざい
 かいさつ
 がいさい
 がいさつ","改札"
"1708214159-54","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","2. ちょっとした油断が大きな事故を招く場合がある。
 はぶく
 まく
 わく
 まねく","招く"
"1708214159-55","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","3. 工場を遠い郊外へいてんする。
 移転
 移伝
 違転
 違伝","いてん"
"1708214159-56","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","4. 横河の水はきよく大海も波静かである。
 浅く
 深く
 清く
 悪く","きよく"
"1708214159-57","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","5. 予定の生産量を守るのが君のやくめだ。
 役目
 投目
 没目
 殺目","やくめ"
"1708214159-58","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","6. この会社は中国の工場で１００名以上も工員を雇っている。
 もらって
 つかって
 つのって
 やとって","雇って"
"1708214159-59","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","7. この大学は教育方針に貫けれているという印象を与える。
 かんけれて
 つらぬけれて
 きらぬけれて
 かんぬけれて","貫けれて"
"1708214159-60","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","8. 実力が足りないところは、努力で補いたい。
 やしないたい
 すくいたい
 かばいたい
 おぎないたい","補いたい"
"1708214159-61","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","9. 骨にはいじょうな所はないと思います。
 移常
 異常
 以常
 非常","いじょう"
"1708214159-62","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","10. ガソリンの値段が大幅に上がった。
 おおはば
 おおふく
 だいはば
 だいふく","大幅"
"1708214159-63","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","Answer Key:",""
"1708214159-64","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","Question 1: 2
Question 2: 4
Question 3: 1
Question 4: 3
Question 5: 1
Question 6: 4
Question 7: 2
Question 8: 4
Question 9: 2
Question 10: 1",""
"1708214159-65","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 17","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-18/","Download JTest4You’s N2 grammar ebook (1,617 pages)",""
"1708214162-66","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","1. あのころはまだ、将来のことをしんけんに考えていなかった。
 真剣
 真検
 信剣
 信検","しんけん"
"1708214162-67","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","2. 今度の展覧会はおかげさまで無事しゅうりょうしました。
 収了
 修了
 終了
 習了","しゅうりょう"
"1708214162-68","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","3. さいわい人質は無事に救い出された。
 じんしつ
 にんじち
 ひとしつ
 ひとじち","人質"
"1708214162-69","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","4. 母に強引に塾へ連れて行かれた。
 きょういん
 ごういん
 つよひき
 つよびき","強引"
"1708214162-70","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","5. あなたは、この本を読んで、どのような感想をおもちになりましたか。
 かんそう
 かんそ
 かんそく
 かんせい","感想"
"1708214162-71","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","6. ただし、未成年はこの法のてきようから除く。
 敵用
 適用
 摘要
 滴要","てきよう"
"1708214162-72","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","7. メーカーから製品をおろして、ネットで販売する。
 下して
 降して
 堕して
 落して","おろして"
"1708214162-73","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","8. そんなにせめたらかわいそうだよ。
 疑めたら
 怒めたら
 憎めたら
 責めたら","せめたら"
"1708214162-74","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","9. 物価が上がりそうな気配が濃い。
 きはい
 きっぱい
 けはい
 けっぱい","気配"
"1708214162-75","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","10. 雲は大気中の水分が冷えて水の粒となったものである。
 すいふん
 みずふん
 みずぶん
 すいぶん","水分"
"1708214162-76","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","Answer Key:",""
"1708214162-77","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","Question 1: 1
Question 2: 3
Question 3: 4
Question 4: 2
Question 5: 1
Question 6: 2
Question 7: 1
Question 8: 4
Question 9: 3
Question 10: 4",""
"1708214162-78","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 16","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-16/","Download JTest4You’s N2 grammar ebook (1,617 pages)",""
"1708214165-79","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 15","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-15/","1. これからまたお便りします。おげんきで。
 おたより
 おあずかり
 おまいり
 おべんり","お便り"
"1708214165-80","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 15","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-15/","2. 親友で優しい大家さんにめぐり会えて、本当にラッキーでした。
 たいか
 おおいえ
 だいか
 おおや","大家"
"1708214165-81","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 15","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-15/","3. 小学生までは、男の子のほうが発達が早い。
 はつたつ
 はったつ
 はつだつ
 はつっだつ","発達"
"1708214165-82","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 15","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-15/","4. 舞台の歌手をライトでてらした。
 照らした
 明らした
 光らした
 映らした","てらした"
"1708214165-83","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 15","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-15/","5. 秋から冬にかけてかんそう肌に悩む女性が多い。
 干燥
 乾燥
 干躁
 乾躁","かんそう"
"1708214165-84","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 15","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-15/","6. 彼の話は冗談じゃないかと、うたがっている。
 質って
 問って
 疑って
 儀って","うたがって"
"1708214165-85","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/1/","JLPT N2 – Kanji Exercise 15","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-15/","7. 最近環境にやさしい素材がもちいられるようになった。
 使い
 取い
 行い
 用い","もちい"
